method,sparsity_param,score,seg_term,pose_term,rate_term,model_bytes_estimate,actual_brotli_bytes,elapsed_sec
baseline,0.0,0.427768,0.056157,0.180604,0.191008,54078,149335,18.425580739974976
static_magnitude,0.1,0.927593,0.056056,0.680529,0.191008,54078,145313,18.12897801399231
static_magnitude,0.2,2.10087,0.062712,1.84715,0.191008,54078,140530,18.295073747634888
static_magnitude,0.3,3.908855,0.122023,3.595823,0.191008,54078,134865,18.37272882461548
static_magnitude,0.4,6.314287,1.004278,5.119,0.191008,54078,127020,18.40164303779602
static_magnitude,0.5,15.305736,2.327533,12.787195,0.191008,54078,117703,18.376572608947754
static_magnitude,0.6,24.603112,3.829365,20.582739,0.191008,54078,105950,18.560261487960815
static_magnitude,0.7,71.454629,49.935186,21.328436,0.191008,54078,92064,18.55696177482605
static_magnitude,0.8,82.870789,46.963605,35.716175,0.191008,54078,76508,18.45894169807434
per_layer_magnitude,0.1,1.271508,0.058446,1.022053,0.191008,54078,145382,18.303536891937256
per_layer_magnitude,0.2,2.845151,0.177377,2.476766,0.191008,54078,140315,18.379844665527344
per_layer_magnitude,0.3,6.239863,1.464895,4.58396,0.191008,54078,134238,18.350868940353394
per_layer_magnitude,0.4,10.516902,2.945592,7.380302,0.191008,54078,126564,18.44957995414734
per_layer_magnitude,0.5,20.239055,5.536715,14.511331,0.191008,54078,117121,18.21748924255371
per_layer_magnitude,0.6,76.058679,48.294183,27.573488,0.191008,54078,106612,18.1608304977417
per_layer_magnitude,0.7,79.056401,50.481831,28.383562,0.191008,54078,94028,18.480133533477783
per_layer_magnitude,0.8,60.849399,35.321783,25.336607,0.191008,54078,78354,18.012542963027954
channel,0.05,28.689129,2.531999,25.966122,0.191008,54078,144678,18.43307137489319
channel,0.1,45.567857,6.821672,38.555177,0.191008,54078,141167,18.32860279083252
channel,0.15,87.715704,47.943855,39.58084,0.191008,54078,137579,17.962405920028687
channel,0.2,88.986934,50.221326,38.574599,0.191008,54078,133881,18.39130425453186
channel,0.3,88.041565,50.271992,37.578565,0.191008,54078,126958,18.293595552444458
channel,0.4,77.359451,42.465961,34.702482,0.191008,54078,118672,18.42833638191223
nm_1of4,0.75,68.505962,39.96602,28.348934,0.191008,54078,96956,18.30292248725891
nm_2of4,0.5,79.183691,50.435858,28.556825,0.191008,54078,123907,18.47391152381897
nm_3of4,0.25,12.39127,2.013281,10.18698,0.191008,54078,140434,18.458277702331543
nm_1of2,0.5,48.867181,20.858181,27.817992,0.191008,54078,122649,18.418318033218384
random,0.2,64.299574,48.411105,15.697461,0.191008,54078,143726,18.03267550468445
random,0.4,25.257014,10.676771,14.389235,0.191008,54078,133275,18.35512614250183
random,0.6,78.757987,45.698346,32.868632,0.191008,54078,116872,18.52634024620056
random,0.8,87.786914,50.482085,37.113821,0.191008,54078,88507,18.03046154975891
iterative_magnitude_retrain,0.2,0.470865,0.048429,0.231428,0.191008,54078,292465,1219.35382604599
iterative_magnitude_retrain,0.35,0.490801,0.069164,0.230629,0.191008,54078,250549,1219.2289023399353
iterative_magnitude_retrain,0.5,0.604044,0.130361,0.282675,0.191008,54078,206592,1219.2007229328156
iterative_magnitude_retrain,0.6,0.823825,0.177876,0.454941,0.191008,54078,174477,1218.7901368141174
iterative_magnitude_retrain,0.7,1.099034,0.24714,0.660886,0.191008,54078,141451,1219.0013008117676
iterative_magnitude_retrain,0.8,1.517801,0.277063,1.04973,0.191008,54078,106222,1218.6439282894135
