rank,name,sb_bytes,seg_d,pose_d,d_seg,d_pose,d_bytes,net,elapsed_s
1,H8_f1_pose_K2,1193,0.00029210409498773513,0.00140414216555655,0.0,-0.0029848832371955764,0.0007943697310747504,-0.002190513506120826,24.151330709457397
2,H1_f1_pose_K5 (current),2236,0.00029210409498773513,0.001395093579776585,0.0,-0.003367308469875041,0.0014888606191811751,-0.001878447850693866,24.680607795715332
3,H4_f1K3+f2K2_pose,2716,0.00029174805618822577,0.0013892628764733672,-3.560387995093627e-05,-0.003614391982256021,0.0018084729166798173,-0.00184152294552714,46.96608281135559
4,H3_f1K2+f2K3_pose,2757,0.00029230754356831314,0.001387604116462171,2.0344858057800858e-05,-0.0036847787527743703,0.0018357731337578264,-0.001828660760958743,47.2265989780426
5,H2_f2_pose_K5,2214,0.00029256185865961015,0.0013962123263627291,4.5776367187501735e-05,-0.003319959229422312,0.0014742117222124873,-0.0017999711400223228,23.50991201400757
6,H10_f2_pose_K8,3170,0.00029271444538608193,0.0013889930909499527,6.1035039834679474e-05,-0.0036258370275738666,0.002110772881397283,-0.001454029106341904,23.35335659980774
7,H9_f1_pose_K8,3226,0.00029210409498773513,0.0013910313602536917,0.0,-0.003539395528951328,0.0021480609827721248,-0.0013913345461792031,24.37854027748108
8,H7_f2_seg_K2,983,0.0002924601396080107,0.0014753397647291422,3.560446202755408e-05,-1.782295943907053e-05,0.0006545393509190944,0.000672320853507578,87.53686285018921
9,H5_f2_seg_K5,1953,0.0002921549591701478,0.0014753049053251744,5.0864182412669896e-06,-1.9257941602471296e-05,0.0013004225354476006,0.0012862510120863963,92.91748642921448
10,H6_f2_seg_K10,3342,0.0002917480585165322,0.0014763002330437302,-3.56036471202924e-05,2.1707909131460368e-05,0.0022253006213342964,0.0022114048833454646,88.20554995536804
