rank,name,sb_bytes,seg_d,pose_d,d_seg,d_pose,d_bytes,net,elapsed_s
1,H10_K1x3_iterative,1523,0.0002913411555346102,0.0013932972587645054,0.0,-0.0034433747452131402,0.001014103185605067,-0.002429271559608073,72.07966232299805
2,H9_K1x2_iterative,1177,0.0002913411555346102,0.0013989001186564564,0.0,-0.003206280001623582,0.0007837159878247956,-0.002422564013798786,48.31096363067627
3,C3d_dims125_wider,403,0.0002913411555346102,0.001412250364664942,0.0,-0.002643247522949199,0.00026834115810823507,-0.0023749063648409643,565.7312886714935
4,H5_K2x2_iterative,1942,0.0002913411555346102,0.0013909895811229944,0.0,-0.003541166715087432,0.0012930980869632568,-0.0022480686281241753,47.968862771987915
5,H3_K3,1525,0.0002913411555346102,0.0013982811034657062,0.0,-0.0032324513446400915,0.0010154349035113113,-0.0022170164411287802,24.22659945487976
6,H2_K2 (reference),1172,0.0002913411555346102,0.0014041447546333074,0.0,-0.002984773990278647,0.0007803866930591848,-0.002204387297219462,23.952976942062378
7,H8_K2_combined_grad,1178,0.0002913411555346102,0.0014041415881365538,0.0,-0.002984907601629644,0.0007843818467779179,-0.002200525754851726,26.916167497634888
8,H4_K4,1870,0.0002913411555346102,0.0013962760916911066,0.0,-0.0033172610308231515,0.0012451562423384604,-0.002072104788484691,24.094773530960083
9,H1_K1,720,0.0002913411555346102,0.0014163860213011502,0.0,-0.002469370966492107,0.0004794184462479634,-0.0019899525202441435,24.680153846740723
10,H6_K2_multichan2,1397,0.0002913411555346102,0.0014061023527756334,0.0,-0.002902201322143236,0.0009302049575116734,-0.0019719963646315625,25.355527639389038
11,H7_K2_multichan3 (fullRGB),1602,0.0002913411555346102,0.0014065545587800443,0.0,-0.0028831351746578943,0.0010667060429017186,-0.0018164291317561757,27.303680419921875
12,C3a_dims125 (current),382,0.0002913411555346102,0.0014269848400726914,0.0,-0.0020249173253448077,0.00025435812009266947,-0.0017705592052521383,494.14824295043945
13,C3b_dims012,373,0.0002913411555346102,0.0014329127408564092,0.0,-0.0017770547707828127,0.0002483653895145699,-0.0015286893812682428,491.6720368862152
14,C3c_dims0125_5per,396,0.0002913411555346102,0.0014342181384563446,0.0,-0.0017225412710667604,0.00026368014543637987,-0.0014588611256303805,915.6097092628479
