pair,qx,qy,model_improve,actual_improve
280,-2,0,0.000533086305949837,0.0005489065079018474
97,4,0,0.0005467305891215801,0.0005092388018965721
99,0,-1,0.00048422557301819324,0.0004670714261010289
62,12,-2,0.000516306608915329,0.0004202257841825485
107,1,-1,0.00039005058351904154,0.0003997834282927215
114,5,1,0.00035595870576798916,0.0003585702506825328
430,3,0,0.00043385993922129273,0.00033210532274097204
34,-25,0,0.0003007581690326333,0.0003250018635299057
137,-4,0,0.00038492539897561073,0.00029408553382381797
366,10,0,0.0002999211137648672,0.00028957895119674504
436,-1,1,0.00026733550475910306,0.0002656136639416218
293,-29,2,0.00026779205654747784,0.0002638559672050178
197,4,-7,0.0002736200112849474,0.00026309723034501076
304,3,0,0.00026138685643672943,0.00026192344375886023
478,19,-1,0.00027715915348380804,0.0002576205297373235
59,-6,-1,0.0003367660101503134,0.000251245335675776
116,-9,-1,0.0002665702486410737,0.00024876120733097196
311,2,0,0.00024156097788363695,0.00024630461120978
223,2,1,0.00027518707793205976,0.000244608789216727
576,-4,0,0.00022798540885560215,0.00023828347912058234
481,-25,5,0.00024200260668294504,0.00023743452038615942
509,6,0,0.00021529378136619925,0.00023251335369423032
227,-22,-2,0.0002271049888804555,0.0002188498037867248
449,-12,-1,0.00022150279983179644,0.00020735335419885814
547,-27,1,0.00022052600979804993,0.0001988146104849875
513,-19,-1,0.000227444339543581,0.00019439811876509339
274,-17,2,0.00020118168322369456,0.00018889474449679255
191,2,1,0.00019763014279305935,0.00018749525770545006
334,-27,-1,0.0002131841902155429,0.00018350458412896842
291,6,0,0.0001964384864550084,0.00018302493845112622
386,-6,0,0.00016682513523846865,0.00018021123833023012
268,-14,2,0.00017608306370675564,0.00017776730237528682
295,-1,0,0.00021013891091570258,0.00017414643662050366
64,-1,0,0.00017669901717454195,0.0001715217949822545
595,24,0,0.00018354894405092637,0.00016653888451401144
404,14,1,0.0002064254367724061,0.0001648661564104259
370,8,-4,0.00016592946485616267,0.0001532294845674187
307,0,-2,0.00015117175644263625,0.00014997835387475789
510,-17,2,0.00013851519906893373,0.00014673674013465643
103,-4,2,0.00015931774396449327,0.0001459772465750575
158,18,-2,0.0001621268456801772,0.0001390160759910941
83,7,0,0.00013812672113999724,0.0001389615936204791
598,0,1,0.00011239248851779848,0.00013388697698246688
152,-3,-1,0.00014402042143046856,0.00013029971159994602
383,2,1,0.0001461553547414951,0.00012923366739414632
217,-29,2,0.00014002263196744025,0.0001233310322277248
11,4,1,0.00012778391828760505,0.00012192883878014982
554,-7,0,0.000113252317532897,0.00012023982708342373
416,-1,0,0.00012529699961305596,0.00011719503527274355
269,-23,-2,0.00011615545372478664,0.00011587080371100456
296,-1,2,0.00011570485366974026,0.00011395530600566417
261,10,1,0.000114942726213485,0.00011375611939001828
13,-23,0,0.00016270386186079122,0.00011360162170603871
434,3,-2,0.00015258882194757462,0.00011297850869596004
104,4,1,0.00017586007015779614,0.00011289515532553196
46,-2,1,0.00012216320465086028,0.00011198773427167907
102,2,-2,0.00011664454359561205,0.000110189663246274
444,-1,-1,9.784215944819152e-05,0.00010987991117872298
330,0,-1,0.00010652371565811336,0.00010837378795258701
367,0,2,8.842407260090113e-05,0.00010533904423937201
278,-10,-1,0.00011275679571554065,0.00010453467257320881
128,3,1,0.00012573320418596268,0.00010146363638341427
425,2,0,0.00010379287414252758,0.00010137789649888873
133,-1,2,0.0001309349318034947,0.00010124826803803444
426,2,1,0.00014546699821949005,9.794766083359718e-05
452,-17,1,0.00010032378486357629,9.616697207093239e-05
340,-26,-1,0.00010081865184474736,9.493244579061866e-05
345,-7,0,8.78610007930547e-05,9.323001722805202e-05
453,5,-1,0.0001366365613648668,9.309698361903429e-05
117,-4,1,0.00011440436355769634,9.250408038496971e-05
80,1,0,9.454833343625069e-05,9.223097731592134e-05
