pair,qx,qy,model_improve,actual_improve
197,1,-7,0.00026290537789463997,0.00027432222850620747
478,19,-1,0.00027695231256075203,0.0002576205297373235
223,2,1,0.00027584319468587637,0.000244608789216727
293,-29,2,0.000228340330068022,0.0002299463376402855
227,-22,-2,0.0002252936246804893,0.0002188498037867248
274,-17,2,0.00020099207176826894,0.00018889474449679255
191,2,1,0.0001976757775992155,0.00018749525770545006
291,6,0,0.000196695706108585,0.00018302493845112622
268,-14,2,0.00017619511345401406,0.00017776730237528682
217,-29,2,0.00013385331840254366,0.00012119943858124316
554,-7,0,0.00011483579874038696,0.00011933315545320511
13,-23,0,0.00015658830670872703,0.00011606136831687763
59,6,0,0.00021558452863246202,0.00011581904254853725
296,-1,2,0.0001155049103545025,0.00011395530600566417
269,-23,-2,0.00011583516607061028,0.00011376137263141572
261,10,1,0.00011497520608827472,0.00011375611939001828
152,-3,-1,0.0001376579748466611,0.00010389788076281548
345,-8,2,9.02026949916035e-05,9.746389696374536e-05
278,-10,-2,0.00011614503455348313,8.677801815792918e-05
228,4,2,8.374277967959642e-05,8.549037738703191e-05
399,0,1,7.097842171788216e-05,8.496423834003508e-05
96,4,-2,8.728844113647938e-05,7.235375232994556e-05
347,-28,0,5.763165245298296e-05,7.06246355548501e-05
334,-26,2,0.00015789049211889505,7.056370668578893e-05
512,27,-2,0.00010760297300294042,6.91903114784509e-05
158,-1,-2,4.728883504867554e-05,6.870209472253919e-05
221,-6,2,8.619076106697321e-05,6.438232958316803e-05
597,-21,-5,0.00011053858906961977,6.421515718102455e-05
86,1,-1,3.7460646126419306e-05,6.371620111167431e-05
277,-10,1,9.597116149961948e-05,6.138952448964119e-05
75,-1,-2,3.331259358674288e-05,5.050061736255884e-05
85,0,-2,5.407072603702545e-05,5.0119764637202024e-05
314,4,-2,3.0244584195315838e-05,4.995026392862201e-05
263,-13,1,6.355164805427194e-05,4.9517431762069464e-05
193,-4,-1,5.340203642845154e-05,4.664773587137461e-05
417,-4,2,4.920567153021693e-05,4.599314706865698e-05
34,-22,2,0.0001416036393493414,4.47874772362411e-05
169,-4,2,3.445008769631386e-05,4.469649866223335e-05
104,2,1,4.277011612430215e-05,4.233431536704302e-05
311,1,0,3.960923640988767e-05,4.097135388292372e-05
110,-1,1,5.8624427765607834e-05,4.064140375703573e-05
348,-14,2,3.724088310264051e-05,4.027922113891691e-05
339,4,0,4.81817260151729e-05,3.844728053081781e-05
360,0,1,3.246689448133111e-05,3.8332073017954826e-05
412,2,0,2.4574226699769497e-05,3.65830201189965e-05
118,12,1,0.00011096778325736523,3.633106825873256e-05
65,-3,-1,4.099938087165356e-05,3.5120174288749695e-05
300,1,-1,3.863908932544291e-05,3.487226786091924e-05
133,-2,2,5.717156454920769e-05,3.4591881558299065e-05
214,0,1,3.773858770728111e-05,3.452842065598816e-05
84,-3,0,2.3561762645840645e-05,3.381352871656418e-05
371,1,-1,3.119345637969673e-05,3.3610034734010696e-05
513,-15,2,3.202282823622227e-05,3.3535034162923694e-05
216,-2,0,2.9319606255739927e-05,3.26343288179487e-05
195,3,-7,2.532533835619688e-05,3.249762812629342e-05
120,3,1,3.4618075005710125e-05,3.18742822855711e-05
95,0,-1,9.028182830661535e-06,3.1170493457466364e-05
312,3,-2,3.512424882501364e-05,3.0999683076515794e-05
201,0,-1,2.6415043976157904e-05,3.0366121791303158e-05
125,1,2,2.930103801190853e-05,3.0014547519385815e-05
509,3,-2,2.8517271857708693e-05,2.7964182663708925e-05
500,-1,-1,2.2119260393083096e-05,2.7613015845417976e-05
385,2,1,2.787529956549406e-05,2.5418295990675688e-05
226,4,2,2.3573637008666992e-05,2.5150715373456478e-05
130,-1,1,1.7162412405014038e-05,2.486049197614193e-05
428,4,1,2.6429202989675105e-05,2.474288339726627e-05
173,1,1,2.656620927155018e-05,2.4177657905966043e-05
97,1,0,2.4402630515396595e-05,2.3381784558296204e-05
391,-24,0,3.1077652238309383e-05,2.2492458811029792e-05
383,0,1,2.2784668544773012e-05,2.152785600628704e-05
175,-2,0,1.9447586964815855e-05,2.069829497486353e-05
415,-1,0,3.0364899430423975e-05,2.0521096303127706e-05
174,-4,2,1.6112171579152346e-05,2.0207487978041172e-05
114,4,2,6.670237053185701e-05,2.0107603631913662e-05
61,4,1,3.3562653698027134e-05,1.9376049749553204e-05
151,0,-2,2.6401598006486893e-05,1.9072205759584904e-05
140,1,-1,1.9133876776322722e-05,1.87391706276685e-05
304,3,0,0.00010053074220195413,1.800432801246643e-05
108,0,-2,2.628774382174015e-05,1.790025271475315e-05
427,1,0,1.8216727767139673e-05,1.7079757526516914e-05
119,1,1,1.246004831045866e-05,1.6878824681043625e-05
450,2,0,1.6006524674594402e-05,1.6728590708225965e-05
318,2,-1,1.9559432985261083e-05,1.6645295545458794e-05
161,0,-1,1.873238943517208e-05,1.63146760314703e-05
134,0,2,2.7670525014400482e-05,1.6252510249614716e-05
264,-13,1,3.424389797146432e-05,1.6084755770862103e-05
288,0,2,2.1604937501251698e-06,1.581417745910585e-05
309,4,-2,3.10176401399076e-05,1.5694706235080957e-05
338,3,0,1.735833939164877e-05,1.565288403071463e-05
381,1,1,9.987212251871824e-06,1.5037425328046083e-05
374,4,-1,9.937415597960353e-06,1.4899778761900961e-05
315,4,-2,2.4998269509524107e-05,1.4216842828318477e-05
145,-3,-3,2.1455402020365e-05,1.4029617886990309e-05
267,-3,0,1.727929338812828e-05,1.3465629308484495e-05
547,-28,1,1.862272620201111e-05,1.3129698345437646e-05
501,3,0,8.61185253597796e-06,1.2547068763524294e-05
508,3,1,1.2879609130322933e-05,1.2457079719752073e-05
422,1,-1,1.685152528807521e-05,1.20517797768116e-05
71,-3,2,1.72627333085984e-05,1.1896889191120863e-05
177,1,-1,1.2901611626148224e-05,1.1877855286002159e-05
459,2,-1,1.587896258570254e-05,1.1694086424540728e-05
301,4,1,2.2461055777966976e-05,1.1441734386608005e-05
423,0,1,6.638001650571823e-07,1.106318086385727e-05
325,4,2,1.1522351996973157e-05,1.077866181731224e-05
233,1,2,8.081697160378098e-06,1.0248360922560096e-05
203,-3,-1,1.3032229617238045e-05,1.0052695870399475e-05
105,2,-1,2.3715198040008545e-05,9.713228791952133e-06
408,1,0,4.605390131473541e-06,9.48159140534699e-06
497,-2,1,2.0860403310507536e-05,9.46270301938057e-06
585,4,1,9.233903256244957e-06,9.378702088724822e-06
420,3,1,2.899463288486004e-05,9.314040653407574e-06
289,1,0,6.5381755121052265e-06,9.288312867283821e-06
503,-10,0,2.0028004655614495e-05,9.211216820403934e-06
25,25,0,2.152992419723887e-05,9.083523764275014e-06
425,4,-2,5.6130578741431236e-05,8.909148164093494e-06
482,-1,0,8.887815056368709e-06,8.497183443978429e-06
220,-8,-4,6.663496606051922e-06,8.378774509765208e-06
390,3,-2,7.756141712889075e-06,8.137751137837768e-06
445,2,-1,7.161113899201155e-06,8.09860648587346e-06
109,1,0,6.670539733022451e-06,7.764785550534725e-06
117,-3,0,2.7919188141822815e-05,7.751514203846455e-06
224,-6,0,1.519165380159393e-05,7.4706258601509035e-06
527,0,-1,6.854563253000379e-06,7.318856660276651e-06
127,4,-2,9.736395440995693e-06,7.1908580139279366e-06
409,4,-1,1.288365456275642e-05,7.131107850000262e-06
487,-1,1,2.0327948732301593e-05,6.968533853068948e-06
357,-25,5,1.6140606021508574e-05,6.832735380157828e-06
528,4,2,4.317029379308224e-06,6.304151611402631e-06
286,-4,-2,7.464899681508541e-06,6.272690370678902e-06
73,0,2,2.544821472838521e-05,6.250804290175438e-06
492,1,-1,6.67857239022851e-06,5.99684426560998e-06
178,1,0,4.258297849446535e-06,5.8141304180026054e-06
539,4,0,8.168484782800078e-06,5.501089617609978e-06
204,3,-1,1.6399426385760307e-05,5.400623194873333e-06
232,1,1,9.008683264255524e-06,5.259236786514521e-06
194,0,-1,3.702007234096527e-07,5.144218448549509e-06
575,4,0,3.724381713254843e-06,5.107413926452864e-06
275,7,2,4.42001037299633e-05,4.736590199172497e-06
341,4,1,5.649169906973839e-06,4.678600816987455e-06
8,4,0,6.455840775743127e-06,4.555171472020447e-06
231,1,-2,2.0935432985424995e-05,4.315690603107214e-06
290,3,2,3.7839345168322325e-05,4.255562089383602e-06
369,2,0,9.876181138679385e-06,4.216708475723863e-06
179,-1,0,4.718196578323841e-06,4.1496241465210915e-06
122,1,0,1.4357268810272217e-05,4.001776687800884e-06
531,3,-1,6.262038368731737e-06,3.8691796362400055e-06
206,0,-1,4.4228509068489075e-06,3.8549769669771194e-06
461,2,0,9.601644705981016e-07,3.5557241062633693e-06
103,-2,2,5.0928327254951e-05,3.4075346775352955e-06
443,1,0,4.493631422519684e-06,3.297114744782448e-06
166,0,-1,5.320645868778229e-06,3.295252099633217e-06
219,19,-2,1.0608047887217253e-05,3.2201933208853006e-06
235,-29,4,8.843568502925336e-05,3.219261998310685e-06
517,1,-2,9.510229574516416e-06,2.969434717670083e-06
343,0,-1,1.0894727893173695e-06,2.9307266231626272e-06
200,2,2,1.568649895489216e-05,2.6744091883301735e-06
80,0,-1,1.5801488189026713e-06,1.981519744731486e-06
332,3,2,1.5308905858546495e-06,1.861335476860404e-06
298,0,-1,2.001397660933435e-06,1.7480342648923397e-06
407,0,-1,9.781215339899063e-07,1.2155651347711682e-06
66,-2,-2,9.430281352251768e-06,1.1985539458692074e-06
172,1,0,5.105661693960428e-05,1.0294606909155846e-06
62,-1,0,1.5253550373017788e-05,9.427312761545181e-07
302,0,1,2.6931229513138533e-06,9.351351764053106e-07
375,2,1,1.987827999982983e-07,6.824884621892124e-07
136,1,0,3.947410732507706e-06,6.55418261885643e-07
438,1,2,4.748697392642498e-06,6.248010322451591e-07
162,1,1,6.912625394761562e-06,6.126938387751579e-07
30,1,1,7.933631422929466e-07,5.858091753907502e-07
35,-1,0,1.342930772807449e-06,4.29514329880476e-07
397,1,0,9.231007425114512e-07,4.2471219785511494e-07
187,0,1,1.1025695130228996e-05,1.5099067240953445e-07
111,-1,0,3.576860763132572e-06,4.46452759206295e-08
