pair,base_mse,best_mse,improve,dx,dy,qx,qy
97,0.002051321789622307,0.0015045912005007267,0.0005467305891215801,0.4,0.0,4,0
280,0.0009886586340144277,0.0004555723280645907,0.000533086305949837,-0.2,0.0,-2,0
62,0.0015998382586985826,0.0010835316497832537,0.000516306608915329,1.2,-0.2,12,-2
99,0.0015963481273502111,0.001112122554332018,0.00048422557301819324,0.0,-0.1,0,-1
430,0.0013469562400132418,0.000913096300791949,0.00043385993922129273,0.3,0.0,3,0
107,0.0012450693175196648,0.0008550187340006232,0.00039005058351904154,0.1,-0.1,1,-1
137,0.0010288041085004807,0.0006438787095248699,0.00038492539897561073,-0.4,0.0,-4,0
114,0.0015959842130541801,0.001240025507286191,0.00035595870576798916,0.5,0.1,5,1
59,0.0018972661346197128,0.0015605001244693995,0.0003367660101503134,-0.6,-0.1,-6,-1
34,0.00047571928007528186,0.00017496111104264855,0.0003007581690326333,-2.5,0.0,-25,0
366,0.0004298458807170391,0.00012992476695217192,0.0002999211137648672,1.0,0.0,10,0
333,0.0005931939231231809,0.00030053011141717434,0.0002926638117060065,-2.6,0.0,-26,0
478,0.00032522273249924183,4.806357901543379e-05,0.00027715915348380804,1.9,-0.1,19,-1
223,0.0007498087361454964,0.0004746216582134366,0.00027518707793205976,0.2,0.1,2,1
197,0.002792184241116047,0.0025185642298310995,0.0002736200112849474,0.4,-0.7,4,-7
293,0.0005116305546835065,0.00024383849813602865,0.00026779205654747784,-2.9,0.2,-29,2
436,0.0009527676738798618,0.0006854321691207588,0.00026733550475910306,-0.1,0.1,-1,1
116,0.0011327126994729042,0.0008661424508318305,0.0002665702486410737,-0.9,-0.1,-9,-1
304,0.0006719428929500282,0.00041055603651329875,0.00026138685643672943,0.3,0.0,3,0
481,0.00035991391632705927,0.00011791130964411423,0.00024200260668294504,-2.5,0.5,-25,5
311,0.0005643985932692885,0.0003228376153856516,0.00024156097788363695,0.2,0.0,2,0
234,0.0003491567331366241,0.0001176305377157405,0.0002315261954208836,-2.7,-0.1,-27,-1
576,0.000361396640073508,0.00013341123121790588,0.00022798540885560215,-0.4,0.0,-4,0
513,0.00043543335050344467,0.00020798901095986366,0.000227444339543581,-1.9,-0.1,-19,-1
227,0.0004782734322361648,0.0002511684433557093,0.0002271049888804555,-2.2,-0.2,-22,-2
449,0.00033558611175976694,0.0001140833119279705,0.00022150279983179644,-1.2,-0.1,-12,-1
547,0.0006901384331285954,0.0004696124233305454,0.00022052600979804993,-2.7,0.1,-27,1
509,0.0010740194702520967,0.0008587256888858974,0.00021529378136619925,0.6,0.0,6,0
334,0.0003689876466523856,0.00015580345643684268,0.0002131841902155429,-2.7,-0.1,-27,-1
295,0.0008177330601029098,0.0006075941491872072,0.00021013891091570258,-0.1,0.0,-1,0
404,0.0009147156961262226,0.0007082902593538165,0.0002064254367724061,1.4,0.1,14,1
274,0.0006709608132950962,0.0004697791300714016,0.00020118168322369456,-1.7,0.2,-17,2
191,0.0015403772704303265,0.0013427471276372671,0.00019763014279305935,0.2,0.1,2,1
291,0.00036366889253258705,0.00016723040607757866,0.0001964384864550084,0.6,0.0,6,0
328,0.00037691715988330543,0.0001884244120446965,0.00018849274783860892,0.7,-0.5,7,-5
595,0.00018698954954743385,3.4406054965074873e-06,0.00018354894405092637,2.4,0.0,24,0
235,0.000445719895651564,0.000265271810349077,0.00018044808530248702,-2.9,0.4,-29,4
64,0.002057037316262722,0.00188033829908818,0.00017669901717454195,-0.1,0.0,-1,0
268,0.0007304101600311697,0.000554327096324414,0.00017608306370675564,-1.4,0.2,-14,2
104,0.0008089360781013966,0.0006330760079436004,0.00017586007015779614,0.4,0.1,4,1
500,0.001293387496843934,0.001117931678891182,0.0001754558179527521,0.4,-0.2,4,-2
53,0.0002468677412252873,7.408548117382452e-05,0.0001727822600514628,-0.9,-0.2,-9,-2
386,0.0003750077448785305,0.00020818260964006186,0.00016682513523846865,-0.6,0.0,-6,0
370,0.000557036604732275,0.00039110713987611234,0.00016592946485616267,0.8,-0.4,8,-4
13,0.00021072453819215298,4.8020676331361756e-05,0.00016270386186079122,-2.3,0.0,-23,0
