pair,base_mse,best_mse,improve,dx,dy,qx,qy
197,0.0027503292076289654,0.002488801721483469,0.00026152748614549637,0.1,-0.7,1,-7
59,0.001753560733050108,0.0015388218453153968,0.00021473888773471117,0.6,0.0,6,0
191,0.0015403772704303265,0.001342297880910337,0.0001980793895199895,0.2,0.1,2,1
152,0.0011894869385287166,0.0010515444446355104,0.00013794249389320612,-0.3,-0.1,-3,-1
221,0.0011542871361598372,0.0010675382800400257,8.674885611981153e-05,-0.6,0.2,-6,2
106,0.0021278588101267815,0.002058595884591341,6.926292553544044e-05,-0.1,0.2,-1,2
114,0.001271330169402063,0.0012038650456815958,6.746512372046709e-05,0.4,0.2,4,2
148,0.0018649138510227203,0.0018005286110565066,6.43852399662137e-05,0.0,0.2,0,2
110,0.0010613619815558195,0.0010032417485490441,5.812023300677538e-05,-0.1,0.1,-1,1
193,0.0013043286744505167,0.0012510709930211306,5.325768142938614e-05,-0.4,-0.1,-4,-1
435,0.0011782464571297169,0.0011251121759414673,5.313428118824959e-05,0.3,-0.1,3,-1
153,0.001767290523275733,0.0017210445366799831,4.6245986595749855e-05,-0.4,-0.2,-4,-2
158,0.0010285107418894768,0.0009826667373999953,4.584400448948145e-05,-0.1,-0.2,-1,-2
275,0.0012152979616075754,0.0011718992609530687,4.339870065450668e-05,0.7,0.2,7,2
165,0.0015254782047122717,0.0014832320157438517,4.224618896842003e-05,0.4,-0.1,4,-1
75,0.0011534936493262649,0.001118664164096117,3.482948523014784e-05,-0.1,-0.2,-1,-2
120,0.001530634006485343,0.0014960946282371879,3.453937824815512e-05,0.3,0.1,3,1
496,0.00116541120223701,0.0011320844059810042,3.3326796256005764e-05,0.1,0.2,1,2
67,0.0015269288560375571,0.001494566211476922,3.236264456063509e-05,-0.4,-0.2,-4,-2
125,0.0016746565233916044,0.001644953852519393,2.9702670872211456e-05,0.1,0.2,1,2
420,0.0016449864488095045,0.0016154501354321837,2.9536313377320766e-05,0.3,0.1,3,1
117,0.001079832436516881,0.0010512600420042872,2.8572394512593746e-05,-0.3,0.0,-3,0
134,0.0019059821497648954,0.0018791572656482458,2.6824884116649628e-05,0.0,0.2,0,2
84,0.0010959100909531116,0.0010696196695789695,2.629042137414217e-05,-0.3,0.0,-3,0
183,0.0011315299198031425,0.0011067282175645232,2.4801702238619328e-05,0.2,-0.2,2,-2
105,0.0021232273429632187,0.0020987028256058693,2.4524517357349396e-05,0.2,-0.1,2,-1
108,0.0021874611265957355,0.0021632378920912743,2.422323450446129e-05,0.0,-0.2,0,-2
97,0.001555456779897213,0.0015331367030739784,2.2320076823234558e-05,0.1,0.0,1,0
500,0.0011576630640774965,0.0011354470625519753,2.221600152552128e-05,-0.1,-0.1,-1,-1
121,0.001529472297988832,0.0015098107978701591,1.9661500118672848e-05,0.1,0.1,1,1
130,0.0025116517208516598,0.0024948713835328817,1.6780337318778038e-05,-0.1,0.1,-1,1
196,0.0016083664959296584,0.0015927781350910664,1.5588360838592052e-05,0.0,0.2,0,2
200,0.0013501213397830725,0.0013346475316211581,1.547380816191435e-05,0.2,0.2,2,2
62,0.0010566069977357984,0.0010417033918201923,1.4903605915606022e-05,-0.1,0.0,-1,0
150,0.002244515810161829,0.002230968326330185,1.3547483831644058e-05,-0.1,-0.1,-1,-1
177,0.0015616046730428934,0.001548857195302844,1.2747477740049362e-05,0.1,-0.1,1,-1
119,0.00158142508007586,0.0015691634034737945,1.2261676602065563e-05,0.1,0.1,1,1
203,0.00126713328063488,0.0012549411039799452,1.2192176654934883e-05,-0.3,-0.1,-3,-1
139,0.0014691383112221956,0.0014574984088540077,1.1639902368187904e-05,0.1,-0.1,1,-1
187,0.0012685623951256275,0.0012574716238304973,1.1090771295130253e-05,0.0,0.1,0,1
127,0.0015044285682961345,0.0014939175453037024,1.0511022992432117e-05,0.4,-0.2,4,-2
129,0.001328113954514265,0.0013181989779695868,9.914976544678211e-06,0.1,-0.1,1,-1
128,0.002383329439908266,0.0023736138828098774,9.715557098388672e-06,0.1,0.1,1,1
143,0.0011433844920247793,0.0011362144723534584,7.170019671320915e-06,0.1,0.0,1,0
206,0.001154629746451974,0.0011497281957417727,4.9015507102012634e-06,0.0,-0.1,0,-1
171,0.0015691190492361784,0.0015646613901481032,4.457659088075161e-06,0.3,0.2,3,2
192,0.0016224996652454138,0.0016183884581550956,4.111207090318203e-06,0.0,-0.1,0,-1
136,0.0022926474921405315,0.002288662828505039,3.984663635492325e-06,0.1,0.0,1,0
181,0.0011628252686932683,0.0011590023059397936,3.822962753474712e-06,0.2,-0.1,2,-1
166,0.001661139540374279,0.001657320884987712,3.818655386567116e-06,0.0,-0.1,0,-1
179,0.0012761688558384776,0.0012727513676509261,3.4174881875514984e-06,-0.1,0.0,-1,0
159,0.0018540718592703342,0.0018511258531361818,2.9460061341524124e-06,0.1,-0.1,1,-1
69,0.0024625957012176514,0.0024597272276878357,2.868473529815674e-06,0.1,-0.1,1,-1
441,0.0010507625993341208,0.0010487576946616173,2.0049046725034714e-06,-0.1,0.0,-1,0
126,0.0013694940134882927,0.0013677442912012339,1.7497222870588303e-06,0.0,0.2,0,2
423,0.001455414341762662,0.0014538837131112814,1.530628651380539e-06,0.0,0.1,0,1
138,0.0018973577534779906,0.001896777655929327,5.800975486636162e-07,-0.1,0.0,-1,0
147,0.0012895730324089527,0.0012890337966382504,5.392357707023621e-07,0.1,-0.1,1,-1
189,0.001587787875905633,0.0015872984658926725,4.89410012960434e-07,0.0,0.0,0,0
310,0.001082192873582244,0.0010817177826538682,4.75090928375721e-07,0.0,0.0,0,0
198,0.0019298759289085865,0.0019294325029477477,4.434259608387947e-07,0.0,0.0,0,0
60,0.001419954001903534,0.0014195338590070605,4.2014289647340775e-07,0.0,0.0,0,0
112,0.0015292256139218807,0.0015288706636056304,3.5495031625032425e-07,0.0,0.0,0,0
64,0.0018544190097600222,0.001854128553532064,2.9045622795820236e-07,0.0,0.0,0,0
135,0.0015613784780725837,0.0015611019916832447,2.764863893389702e-07,0.0,0.0,0,0
149,0.0016721299616619945,0.0016719019040465355,2.280576154589653e-07,0.0,0.0,0,0
99,0.0011270531686022878,0.0011269045062363148,1.4866236597299576e-07,0.0,0.0,0,0
132,0.0012379863765090704,0.0012379413237795234,4.505272954702377e-08,0.0,0.0,0,0
141,0.0020450332667678595,0.0020449920557439327,4.1211023926734924e-08,0.0,0.0,0,0
92,0.0010644803987815976,0.001064441748894751,3.864988684654236e-08,0.0,0.0,0,0
142,0.0010324015747755766,0.0010323880705982447,1.3504177331924438e-08,0.0,0.0,0,0
90,0.001077663036994636,0.0010776545386761427,8.498318493366241e-09,0.0,0.0,0,0
144,0.001171394600532949,0.0011715005384758115,-1.0593794286251068e-07,0.0,0.0,0,0
131,0.0018917287234216928,0.0018918657442554832,-1.3702083379030228e-07,0.0,0.0,0,0
70,0.0013376825954765081,0.00133787642698735,-1.9383151084184647e-07,0.1,0.0,1,0
184,0.0011168391210958362,0.0011171206133440137,-2.814922481775284e-07,0.0,0.0,0,0
164,0.0028381398878991604,0.0028384653851389885,-3.2549723982810974e-07,0.0,0.0,0,0
101,0.0018170274561271071,0.0018182196654379368,-1.1922093108296394e-06,0.0,0.0,0,0
155,0.0010397440055385232,0.0010414212010800838,-1.6771955415606499e-06,0.0,0.0,0,0
113,0.0012671522563323379,0.0012696807971224189,-2.528540790081024e-06,0.0,-0.1,0,-1
