codec,scale,width,height,crf,preset,gop,compressed_size,rate,segnet_dist,posenet_dist,segnet_score,posenet_score,rate_score,total_score,encode_time,decode_time,upscale_time,inference_time,total_time,status
svtav1,384x288,384,288,26,4,60,146204,0.02336430,0.00548121,0.63285458,0.5481,2.5157,0.5841,3.6479,1.09,0.60,0.58,9.79,12.22,ok
svtav1,384x288,384,288,26,4,120,148132,0.02367240,0.00532033,0.51606971,0.5320,2.2717,0.5918,3.3956,1.18,0.56,0.43,1.82,4.14,ok
svtav1,384x288,384,288,26,4,180,147597,0.02358691,0.00531377,0.52280492,0.5314,2.2865,0.5897,3.4075,1.39,0.58,0.47,1.87,4.47,ok
svtav1,384x288,384,288,26,4,200,149139,0.02383333,0.00515696,0.51051491,0.5157,2.2595,0.5958,3.3710,1.31,0.56,0.46,1.87,4.35,ok
svtav1,384x288,384,288,27,4,60,135683,0.02168298,0.00559814,0.68681723,0.5598,2.6207,0.5421,3.7226,1.13,0.51,0.46,1.88,4.13,ok
svtav1,384x288,384,288,27,4,120,136596,0.02182888,0.00548559,0.56058937,0.5486,2.3677,0.5457,3.4620,1.04,0.47,0.45,1.83,3.93,ok
svtav1,384x288,384,288,27,4,180,136262,0.02177551,0.00566961,0.56310272,0.5670,2.3730,0.5444,3.4843,1.29,0.57,0.40,1.80,4.21,ok
svtav1,384x288,384,288,27,4,200,137050,0.02190143,0.00557536,0.55502713,0.5575,2.3559,0.5475,3.4610,1.38,0.62,0.41,1.76,4.31,ok
svtav1,384x288,384,288,28,4,60,125830,0.02010841,0.00569326,0.54998440,0.5693,2.3452,0.5027,3.4172,1.07,0.43,0.45,1.80,3.90,ok
svtav1,384x288,384,288,28,4,120,128031,0.02046014,0.00560720,0.58470923,0.5607,2.4181,0.5115,3.4903,1.08,0.44,0.40,1.95,4.08,ok
svtav1,384x288,384,288,28,4,180,127887,0.02043713,0.00592265,0.57947707,0.5923,2.4072,0.5109,3.5104,1.35,0.50,0.42,1.84,4.26,ok
svtav1,384x288,384,288,28,4,200,128412,0.02052103,0.00578461,0.60111660,0.5785,2.4518,0.5130,3.5433,1.26,0.49,0.41,1.78,4.08,ok
svtav1,384x288,384,288,29,4,60,117964,0.01885137,0.00580388,0.55847001,0.5804,2.3632,0.4713,3.4149,1.07,0.43,0.41,1.88,3.96,ok
svtav1,384x288,384,288,29,4,120,120069,0.01918776,0.00576589,0.53337765,0.5766,2.3095,0.4797,3.3658,1.08,0.49,0.46,1.80,3.97,ok
svtav1,384x288,384,288,29,4,180,119612,0.01911473,0.00578176,0.51403475,0.5782,2.2672,0.4779,3.3233,1.21,0.47,0.44,1.91,4.16,ok
svtav1,384x288,384,288,29,4,200,119565,0.01910722,0.00571131,0.50164914,0.5711,2.2398,0.4777,3.2886,1.23,0.53,0.60,1.95,4.47,ok
svtav1,384x288,384,288,30,4,60,111223,0.01777412,0.00616221,0.66000009,0.6162,2.5690,0.4444,3.6296,1.16,0.54,0.51,1.87,4.24,ok
svtav1,384x288,384,288,30,4,120,112069,0.01790932,0.00592890,0.46446303,0.5929,2.1551,0.4477,3.1958,1.24,0.78,0.43,1.83,4.43,ok
svtav1,384x288,384,288,30,4,180,111887,0.01788023,0.00608714,0.47785458,0.6087,2.1860,0.4470,3.2417,1.42,0.43,0.41,1.83,4.23,ok
svtav1,384x288,384,288,30,4,200,112765,0.01802054,0.00615265,0.50881612,0.6153,2.2557,0.4505,3.3215,1.36,0.50,0.42,1.77,4.22,ok
svtav1,384x288,384,288,31,4,60,103120,0.01647921,0.00622330,0.63398522,0.6223,2.5179,0.4120,3.5522,1.09,0.46,0.48,1.84,4.16,ok
svtav1,384x288,384,288,31,4,120,104230,0.01665659,0.00627579,0.54199052,0.6276,2.3281,0.4164,3.3721,1.14,0.64,0.45,1.91,4.31,ok
svtav1,384x288,384,288,31,4,180,104343,0.01667465,0.00617767,0.54880756,0.6178,2.3427,0.4169,3.3773,1.41,0.63,0.41,1.81,4.41,ok
svtav1,384x288,384,288,31,4,200,104729,0.01673634,0.00642029,0.54492062,0.6420,2.3344,0.4184,3.3948,1.27,0.58,0.48,1.82,4.30,ok
svtav1,384x288,384,288,32,4,60,95876,0.01532157,0.00640854,0.73352522,0.6409,2.7084,0.3830,3.7323,1.00,0.46,0.40,1.83,3.85,ok
